K
Kcommaaccent
Kappa
Kaisymbol
Ka
Ka.bgr
Zhe.bgr

Kje
Kadescender
Kaverticalstrokecyr
Kabashkircyr
Zhe
Zhebrevecyr
Zhedieresiscyr
Zhedescender
