E,,,,,,,H,H
AE,,,,,,,,
Egrave,,,,,,,,
Eacute,,,,,,,,
Ecircumflex,,,,,,,,
Edieresis,,,,,,,,
Emacron,,,,,,,,
Ebreve,,,,,,,,
Edotaccent,,,,,,,,
Eogonek,,,,,,,,
Ecaron,,,,,,,,
OE,,,,,,,,
AEacute,,,,,,,,
Edblgrave,,,,,,,,
Einvertedbreve,,,,,,,,
Edotbelow,,,,,,,,
Ehookabove,,,,,,,,
Etilde,,,,,,,,
Ecircumflexacute,,,,,,,,
Ecircumflexgrave,,,,,,,,
Ecircumflexhookabove,,,,,,,,
Ecircumflextilde,,,,,,,,
Ecircumflexdotbelow,,,,,,,,
