C,1,1,1,1,1,,O,O
Ccedilla,1,1,1,1,1,,,
Cacute,1,1,1,1,[F],,,
Ccircumflex,1,1,1,1,[F],,,
Cdotaccent,1,1,1,1,1,,,
Ccaron,1,1,1,1,[F],,,
Ieukran,1,1,1,1,1,,,
Es,1,1,1,1,1,,,
Ecyr,0,D,C,0,1,,,
Esdescendercyr,1,1,1,1,1,,,
Emacroncyr,1,D,C,1,[F],,,
Ebrevecyr,1,D,C,1,[F],,,
